player,K,HS,D,UD,EF,DAM,R,KPR,DPR,UDR,EFR,KD,HS%,ADR,Placement,Awards
Swny,123,62,79,440,44,13031,162,0.76,0.49,2.72,0.27,1.56,50.41,80.44,1st,MVP
Ethan,100,42,97,409,35,12080,162,0.62,0.6,2.52,0.22,1.03,42,74.57,1st,EVP
Nate,100,61,86,512,25,11521,146,0.68,0.59,3.51,0.17,1.16,61,78.91,2nd,EVP
Jsad,97,42,84,431,26,11126,146,0.66,0.58,2.95,0.18,1.15,43.3,76.21,2nd,EVP
Danzo,148,57,109,530,12,16623,195,0.76,0.56,2.72,0.06,1.36,38.51,85.25,3rd,EVP
Hendo,102,48,115,228,25,12184,195,0.52,0.59,1.17,0.13,0.89,47.06,62.48,3rd,none
Steve,138,77,106,1379,26,15561,184,0.75,0.58,7.49,0.14,1.3,55.8,84.57,4th,EVP
Andy,93,48,117,360,31,10654,184,0.51,0.64,1.96,0.17,0.79,51.61,57.9,4th,none
Dom,57,27,47,159,10,6268,78,0.73,0.6,2.04,0.13,1.21,47.37,80.36,5th,none
Dank,43,20,51,115,15,4982,78,0.55,0.65,1.47,0.19,0.84,46.51,63.87,5th,none
Joey,56,38,50,400,29,6996,73,0.77,0.68,5.48,0.4,1.12,67.86,95.84,6th,none
Dmah,18,9,53,111,16,2380,73,0.25,0.73,1.52,0.22,0.34,50,32.6,6th,none
Caffey,17,4,57,110,22,3449,66,0.26,0.86,1.67,0.33,0.3,23.53,52.26,7th,none
WillP,23,7,57,8,2,2902,66,0.35,0.86,0.12,0.03,0.4,30.43,43.97,7th,none
